Marca,Modelo,AniodeFabricacion,CantidaddePuertas,Cilindrada,TipodeCombustible,PaisdeFabricacion,Precioendolares,Usado,Kilometros,Categoria,Traccion,Transmision
Toyota,Yaris,2007,4,2.0,Electric,Japan,56246,0,0,Couper,Total,Automatica
BMW,X3,2006,4,1.4,Electric,South Korea,26706,1,18043,Convertible,Delantera,Hidraulica
Honda,Civic,2003,2,3.0,Diesel,China,64551,1,67731,Convertible,4x4,Hidraulica
BMW,X3,2006,2,3.5,Diesel,Japan,73608,1,13035,Convertible,Delantera,Secuencial
Ford,Escape,2014,2,3.5,Hybrid,Brazil,27693,1,43697,Sedan,Total,Secuencial
BMW,3 Series,2011,4,1.6,Hybrid,China,74280,1,65986,Pickup,4x4,Automatica
Nissan,Rogue,2009,4,2.0,Gasoline,Germany,42632,1,63312,SUV,4x4,Automatica
Kia,Sportage,2023,4,3.0,Hybrid,China,41437,0,0,Pickup,4x4,Manual
Toyota,Yaris,2014,2,2.4,Gasoline,India,38943,1,38856,Couper,Delantera,Automatica
Honda,CR-V,2009,2,4.0,Electric,South Korea,57661,0,0,Convertible,4x4,Hidraulica
Ford,Explorer,2001,4,1.2,Gasoline,India,27829,1,73238,Sedan,Trasera,Secuencial
Ford,F-150,2017,2,1.8,Hybrid,India,17142,0,0,Convertible,4x4,Hidraulica
Toyota,Corolla,2009,4,1.8,Hybrid,Germany,13008,1,40613,Convertible,Trasera,Hidraulica
Chevrolet,Silverado,2005,4,1.6,Gasoline,Mexico,56030,1,25545,SUV,Delantera,Hidraulica
Nissan,Frontier,2019,4,3.0,Diesel,Germany,60940,0,0,Convertible,Delantera,Hidraulica
Nissan,Frontier,2007,4,1.2,Gasoline,India,41637,1,36271,Sedan,Total,Hidraulica
Kia,Optima,2017,2,1.4,Diesel,Brazil,37971,0,0,Sedan,4x4,Manual
Mercedes-Benz,GLC,2009,4,2.0,Diesel,China,11912,1,76041,Pickup,Trasera,Manual
Kia,Optima,2020,2,4.0,Hybrid,South Korea,62164,0,0,Sedan,Trasera,Secuencial
Kia,Rio,2023,2,1.6,Hybrid,Brazil,75724,1,58351,Couper,4x4,Hidraulica
Toyota,Prius,2019,4,1.8,Hybrid,Japan,17083,1,72067,Pickup,Trasera,Hidraulica
Honda,Accord,2016,2,2.0,Diesel,South Korea,57527,1,38072,Pickup,Total,Hidraulica
Toyota,Prius,2019,4,1.6,Hybrid,Germany,42632,1,15481,Convertible,4x4,Automatica
BMW,3 Series,2009,4,1.0,Electric,China,13008,0,0,Pickup,Trasera,Manual
Hyundai,Elantra,2003,2,3.5,Diesel,China,15875,1,79522,SUV,4x4,Hidraulica
Honda,Fit,2012,4,3.5,Electric,India,73136,1,21472,SUV,Total,Automatica
Hyundai,Sonata,2020,2,1.4,Hybrid,Brazil,51880,1,23861,Sedan,Trasera,Automatica
Mercedes-Benz,C-Class,2010,4,3.5,Gasoline,India,56030,0,0,Convertible,4x4,Secuencial
Chevrolet,Tahoe,2019,2,1.2,Diesel,China,58441,0,0,SUV,Trasera,Secuencial
Ford,Escape,2019,2,1.2,Gasoline,Japan,12454,1,65775,Couper,Trasera,Manual
BMW,5 Series,2023,4,1.6,Gasoline,USA,62164,1,73351,Sedan,Total,Manual
Kia,Rio,2009,2,4.0,Hybrid,India,15875,0,0,Convertible,Delantera,Automatica
Hyundai,Santa Fe,2016,2,1.8,Gasoline,India,15875,1,76812,SUV,4x4,Manual
Nissan,Rogue,2011,4,2.4,Hybrid,South Korea,47207,0,0,Convertible,Delantera,Manual
Hyundai,Sonata,2015,2,1.0,Hybrid,India,60940,0,0,Couper,Delantera,Secuencial
Ford,F-150,2007,2,2.0,Gasoline,Germany,13702,1,52992,Convertible,Delantera,Hidraulica
Mercedes-Benz,GLE,2012,4,1.2,Diesel,Mexico,37425,1,54359,SUV,Delantera,Hidraulica
Kia,Sportage,2000,2,2.4,Gasoline,South Korea,58441,0,0,Pickup,Delantera,Manual
Chevrolet,Equinox,2023,4,2.4,Hybrid,Germany,73488,0,0,Pickup,Total,Automatica
Honda,CR-V,2000,4,2.2,Electric,Brazil,74280,1,39551,Sedan,4x4,Automatica
Honda,CR-V,2009,2,2.0,Hybrid,South Korea,60940,0,0,Convertible,Delantera,Hidraulica
Chevrolet,Silverado,2021,2,3.5,Electric,USA,54282,1,19861,Sedan,Total,Hidraulica
